#iter iter*batch time loss_G_GAN loss_G_L1 loss_D_real loss_D_fake
1 4 2.784 1.299 13.199 0.658 1.047
2 8 3.494 1.203 9.629 0.757 0.820
3 12 4.215 1.279 7.216 0.502 0.770
4 16 5.131 1.429 5.640 0.450 0.692
5 20 5.921 1.503 4.648 0.530 0.599
6 24 6.785 1.348 4.142 0.590 0.630
7 28 8.365 1.405 3.890 0.538 0.636
8 32 9.135 1.185 4.052 0.589 0.963
9 36 9.697 1.123 3.421 0.675 0.881
10 40 10.376 1.089 3.093 0.733 0.731
11 44 10.964 0.973 2.819 0.758 0.696
12 48 12.344 1.013 2.898 0.669 0.717
13 52 13.030 1.128 2.669 0.657 0.683
14 56 13.961 1.399 2.790 0.720 0.462
15 60 15.063 1.448 3.148 0.537 0.462
16 64 16.098 1.570 2.575 0.389 0.802
17 68 16.847 1.706 3.213 0.698 0.193
18 72 17.518 1.412 2.451 0.330 0.773
19 76 18.181 1.682 2.821 0.577 0.352
20 80 18.567 1.609 2.399 0.376 0.487
21 84 19.259 2.319 3.054 0.420 0.102
22 88 19.939 2.092 2.668 0.210 0.221
23 92 20.976 2.361 2.377 0.142 0.487
24 96 22.023 2.540 2.896 0.380 0.097
25 100 22.878 2.168 2.696 0.227 0.196
26 104 23.506 2.559 2.489 0.147 0.638
27 108 24.041 2.703 2.610 0.474 0.107
28 112 25.472 2.193 2.549 0.217 0.241
29 116 26.732 2.629 2.343 0.152 0.600
30 120 27.624 3.332 2.785 0.473 0.059
31 124 28.276 2.648 2.876 0.307 0.072
32 128 29.165 2.214 2.495 0.076 0.251
33 132 30.341 2.796 2.436 0.065 0.227
34 136 31.381 3.334 2.661 0.082 0.144
35 140 32.292 3.218 2.535 0.084 0.100
36 144 33.253 3.493 2.623 0.078 0.072
37 148 34.124 2.804 2.412 0.071 0.213
38 152 35.469 3.296 2.555 0.097 0.079
39 156 36.862 3.180 2.490 0.097 0.070
40 160 37.288 3.379 2.400 0.083 0.048
41 164 37.659 4.321 2.755 0.066 0.021
42 168 38.163 4.222 2.571 0.054 0.022
43 172 38.767 3.358 2.404 0.042 0.066
44 176 39.412 3.807 2.826 0.039 0.046
45 180 40.190 3.750 2.825 0.039 0.039
46 184 40.810 3.418 2.595 0.039 0.049
47 188 41.345 3.476 2.627 0.035 0.048
48 192 42.063 3.253 2.259 0.033 0.085
49 196 42.955 3.722 2.206 0.036 0.221
50 200 43.702 3.546 2.177 0.126 0.047
51 204 44.620 4.551 3.063 0.072 0.018
52 208 45.551 4.406 3.031 0.046 0.018
53 212 46.542 4.162 2.901 0.039 0.023
54 216 47.447 3.889 2.742 0.030 0.030
55 220 48.471 3.891 2.641 0.028 0.026
56 224 49.636 3.901 2.365 0.023 0.024
57 228 50.730 3.936 2.315 0.022 0.024
58 232 51.790 3.913 2.256 0.021 0.024
59 236 52.584 3.878 2.206 0.021 0.026
60 240 53.381 3.857 2.287 0.019 0.030
61 244 54.203 3.916 2.236 0.020 0.037
62 248 55.079 5.159 2.937 0.020 0.013
63 252 55.675 5.163 2.926 0.022 0.008
64 256 56.328 4.619 2.584 0.019 0.014
